ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;97.8;35;São Paulo;9310;2018;49243;Total
Indicador  4.2.1.4;2;98.0;35;São Paulo;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;35;São Paulo;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;97.8;35;São Paulo;9310;2019;49243;Total
Indicador  4.2.1.4;2;92.2;41;Paraná;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;97.4;41;Paraná;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;95.7;41;Paraná;9310;2016;49243;Total
Indicador  4.2.1.4;2;94.4;41;Paraná;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;92.3;41;Paraná;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;95.7;41;Paraná;9310;2017;49243;Total
Indicador  4.2.1.4;2;95.3;41;Paraná;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;41;Paraná;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;96.9;41;Paraná;9310;2018;49243;Total
Indicador  4.2.1.4;2;97.0;41;Paraná;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;41;Paraná;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.5;41;Paraná;9310;2019;49243;Total
Indicador  4.2.1.4;2;94.4;42;Santa Catarina;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;97.8;42;Santa Catarina;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;96.4;42;Santa Catarina;9310;2016;49243;Total
Indicador  4.2.1.4;2;95.8;42;Santa Catarina;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;42;Santa Catarina;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.8;42;Santa Catarina;9310;2017;49243;Total
Indicador  4.2.1.4;2;97.0;42;Santa Catarina;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;98.5;42;Santa Catarina;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;97.5;42;Santa Catarina;9310;2018;49243;Total
Indicador  4.2.1.4;2;97.8;42;Santa Catarina;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;42;Santa Catarina;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.2;42;Santa Catarina;9310;2019;49243;Total
Indicador  4.2.1.4;2;78.7;43;Rio Grande do Sul;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;92.6;43;Rio Grande do Sul;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;88.0;43;Rio Grande do Sul;9310;2016;49243;Total
Indicador  4.2.1.4;2;82.1;43;Rio Grande do Sul;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;43;Rio Grande do Sul;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;91.1;43;Rio Grande do Sul;9310;2017;49243;Total
Indicador  4.2.1.4;2;81.1;43;Rio Grande do Sul;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;43;Rio Grande do Sul;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;89.2;43;Rio Grande do Sul;9310;2018;49243;Total
Indicador  4.2.1.4;2;92.8;43;Rio Grande do Sul;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;97.2;43;Rio Grande do Sul;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;94.1;43;Rio Grande do Sul;9310;2019;49243;Total
Indicador  4.2.1.4;2;94.9;50;Mato Grosso do Sul;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;50;Mato Grosso do Sul;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;94.8;50;Mato Grosso do Sul;9310;2016;49243;Total
Indicador  4.2.1.4;2;95.9;50;Mato Grosso do Sul;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;96.5;50;Mato Grosso do Sul;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;95.4;50;Mato Grosso do Sul;9310;2017;49243;Total
Indicador  4.2.1.4;2;90.7;50;Mato Grosso do Sul;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;50;Mato Grosso do Sul;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;94.4;50;Mato Grosso do Sul;9310;2018;49243;Total
Indicador  4.2.1.4;2;89.5;50;Mato Grosso do Sul;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;50;Mato Grosso do Sul;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;94.5;50;Mato Grosso do Sul;9310;2019;49243;Total
Indicador  4.2.1.4;2;86.9;51;Mato Grosso;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;51;Mato Grosso;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;93.0;51;Mato Grosso;9310;2016;49243;Total
Indicador  4.2.1.4;2;96.9;51;Mato Grosso;9310;2017;58676;Até o P20
